emailAdress,customerId,depotId,outletId,region_id,option_id,sku_NCFTGCBS01,sku_NKFABCKS01,sku_NPCTGOCL01,sku_TGEC02,sku_TGEB02,sku_NPCTGCBS01,sku_NKFHEIKS02,sku_NKFHEIKL01,sku_NPCHEICS01
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DC284X1ZHB7B2VEY727J,reg_01HES8WCK97EWB0BZSXT60DSA2,so_01HF3ZZTSBNP3FBMN82NE10C0T,variant_01HES9RP94FJZMY6XQ3S15N751,variant_01HES9RS6PXVNRCH2FS2NM0E6G,variant_01HES9RPDZKQ95E57E6NF7C1TH,variant_01HSSZZ0J6R8TNGCZVYEF1MGH0,variant_01HSSZZ0FYVJKTBDCGWDH9R2QG,variant_01HES9RP89SFJV2YSWWW03DKWE,variant_01HES9RQX2D1ZZCH6MPPHD7SB7,variant_01HES9RQSA2XX96MKHW5M755F7,variant_01HES9RQD7EHD0ZXXFFNHTG0MP
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DDPRSWD00K7ZWKMK3C71,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DDSEFCV7Z23GNCRPXZRM,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DDYKG8T74V0F4M0FTX4P,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DE547G745021CRJR36S1,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DE7JYYH00A0X6PCWMZWN,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DE9MCMWTSWK0XTQ2ZSHN,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DEBJ974TG7EVJ036GYMG,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DEGQWB0XS0J9FQKFSZXH,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DEKE2KK9MZRQVBT8P1RQ,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DEP9M4W4FX0WKK6V2XHC,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DER20474T6MS338GPWYC,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DET3BPZBWHPYGKGXV223,,,,,,,,,,,
generic.outlet.contact1@hnk-oms.com,cus_01HQSXB1GYPQA43AP9SY3YRRJH,depot_01HES9APM60R2D27MW39GHT6YC,outlet_01HES9DEVYEA6VZC33CP9AKTP7,,,,,,,,,,,
